64 , 1751277856.30064640 
65 , 1751277856.130054144 
66 , 1751277856.230032640 
67 , 1751277856.330009856 
68 , 1751277856.429980928 
69 , 1751277856.529978624 
70 , 1751277856.629994752 
71 , 1751277856.730017536 
72 , 1751277856.830033920 
73 , 1751277856.930048256 
74 , 1751277857.130059520 
75 , 1751277857.230078976 
76 , 1751277857.430048512 
77 , 1751277857.729978368 
78 , 1751277857.929991936 
79 , 1751277858.30007552 
80 , 1751277858.130007552 
81 , 1751277858.330059776 
82 , 1751277858.430097920 
83 , 1751277858.630108416 
84 , 1751277858.930093056 
85 , 1751277859.130055936 
86 , 1751277859.730042880 
87 , 1751277860.30056960 
88 , 1751277860.130075648 
89 , 1751277860.330081280 
90 , 1751277860.430086144 
91 , 1751277860.530092288 
92 , 1751277860.730104064 
93 , 1751277860.830102016 
94 , 1751277860.930091264 
95 , 1751277861.30090240 
96 , 1751277861.130090240 
97 , 1751277861.330125568 
98 , 1751277861.530091264 
99 , 1751277861.630067968 
100 , 1751277861.730084096 
101 , 1751277861.830083328 
102 , 1751277861.930081280 
103 , 1751277862.430107136 
104 , 1751277862.530101248 
105 , 1751277862.630088960 
106 , 1751277863.30062592 
107 , 1751277863.130026496 
108 , 1751277863.329999872 
109 , 1751277863.530043136 
110 , 1751277863.630061824 
111 , 1751277863.730093312 
112 , 1751277863.930117120 
113 , 1751277864.30109952 
114 , 1751277864.130090496 
115 , 1751277864.230092288 
116 , 1751277864.330064128 
117 , 1751277864.430036480 
118 , 1751277864.530024448 
119 , 1751277864.630013696 
120 , 1751277864.729996544 
121 , 1751277864.829985792 
122 , 1751277864.929974528 
123 , 1751277865.30011648 
124 , 1751277865.330092288 
125 , 1751277865.430103040 
126 , 1751277865.530104832 
127 , 1751277865.630090752 
128 , 1751277865.830088448 
129 , 1751277865.930070272 
130 , 1751277866.30063616 
131 , 1751277866.130071552 
132 , 1751277866.230105344 
133 , 1751277866.430097152 
134 , 1751277866.530077952 
135 , 1751277866.630092288 
136 , 1751277866.730104832 
137 , 1751277866.830124800 
138 , 1751277866.930148608 
139 , 1751277867.30180608 
140 , 1751277867.130192640 
141 , 1751277867.230190336 
142 , 1751277867.330183168 
143 , 1751277867.630164224 
144 , 1751277867.830135552 
145 , 1751277867.930151168 
146 , 1751277868.130134016 
147 , 1751277868.230115840 
148 , 1751277868.430121472 
149 , 1751277868.530114816 
150 , 1751277868.630112256 
151 , 1751277868.730117888 
152 , 1751277868.830126592 
153 , 1751277868.930142976 
154 , 1751277869.230180096 
155 , 1751277869.330170880 
156 , 1751277869.530183680 
157 , 1751277869.630191104 
158 , 1751277869.930189312 
159 , 1751277870.130204928 
160 , 1751277870.230206208 
161 , 1751277870.330211072 
162 , 1751277870.430196992 
163 , 1751277870.530196480 
164 , 1751277870.630191360 
165 , 1751277870.930212096 
166 , 1751277871.30208768 
167 , 1751277871.130231552 
168 , 1751277871.230237440 
169 , 1751277871.330236160 
170 , 1751277871.430227200 
171 , 1751277871.630212864 
172 , 1751277871.730194944 
173 , 1751277871.830178560 
174 , 1751277871.930164224 
