64 , 1751277856.64608506 
65 , 1751277856.164610083 
66 , 1751277856.264610660 
67 , 1751277856.364612238 
68 , 1751277856.464613515 
69 , 1751277856.564614659 
70 , 1751277856.664616804 
71 , 1751277856.764617949 
72 , 1751277856.864619093 
73 , 1751277856.964620238 
74 , 1751277857.164617527 
75 , 1751277857.264609672 
76 , 1751277857.464607085 
77 , 1751277857.764609750 
78 , 1751277857.964610861 
79 , 1751277858.64614416 
80 , 1751277858.164616971 
81 , 1751277858.364627202 
82 , 1751277858.464640070 
83 , 1751277858.664656804 
84 , 1751277858.964673406 
85 , 1751277859.164683140 
86 , 1751277859.764701127 
87 , 1751277860.64707569 
88 , 1751277860.164709716 
89 , 1751277860.364713610 
90 , 1751277860.464714748 
91 , 1751277860.564715886 
92 , 1751277860.764716163 
93 , 1751277860.864711301 
94 , 1751277860.964712439 
95 , 1751277861.64708577 
96 , 1751277861.164709715 
97 , 1751277861.364705665 
98 , 1751277861.564707201 
99 , 1751277861.664711470 
100 , 1751277861.764713738 
101 , 1751277861.864723007 
102 , 1751277861.964725275 
103 , 1751277862.464748163 
104 , 1751277862.564749062 
105 , 1751277862.664750961 
106 , 1751277863.64754558 
107 , 1751277863.164755457 
108 , 1751277863.364757008 
109 , 1751277863.564758309 
110 , 1751277863.664758960 
111 , 1751277863.764759610 
112 , 1751277863.964760911 
113 , 1751277864.64760562 
114 , 1751277864.164761212 
115 , 1751277864.264757282 
116 , 1751277864.364760053 
117 , 1751277864.464758825 
118 , 1751277864.564761597 
119 , 1751277864.664759369 
120 , 1751277864.764762141 
121 , 1751277864.864759913 
122 , 1751277864.964762685 
123 , 1751277865.64764456 
124 , 1751277865.364776152 
125 , 1751277865.464782675 
126 , 1751277865.564784198 
127 , 1751277865.664787721 
128 , 1751277865.864790767 
129 , 1751277865.964792290 
130 , 1751277866.64793813 
131 , 1751277866.164795336 
132 , 1751277866.264797855 
133 , 1751277866.464802880 
134 , 1751277866.564804392 
135 , 1751277866.664806905 
136 , 1751277866.764808417 
137 , 1751277866.864813930 
138 , 1751277866.964815442 
139 , 1751277867.64819954 
140 , 1751277867.164821467 
141 , 1751277867.264824655 
142 , 1751277867.364827136 
143 , 1751277867.664834579 
144 , 1751277867.864837541 
145 , 1751277867.964840022 
146 , 1751277868.164841984 
147 , 1751277868.264841087 
148 , 1751277868.464841938 
149 , 1751277868.564842864 
150 , 1751277868.664842790 
151 , 1751277868.764843716 
152 , 1751277868.864842642 
153 , 1751277868.964843567 
154 , 1751277869.264840386 
155 , 1751277869.364840436 
156 , 1751277869.564839536 
157 , 1751277869.664839585 
158 , 1751277869.964840735 
159 , 1751277870.164841474 
160 , 1751277870.264845667 
161 , 1751277870.364847861 
162 , 1751277870.464851054 
163 , 1751277870.564853248 
164 , 1751277870.664855442 
165 , 1751277870.964859022 
166 , 1751277871.64855216 
167 , 1751277871.164857822 
168 , 1751277871.264856857 
169 , 1751277871.364859892 
170 , 1751277871.464856927 
171 , 1751277871.664860998 
172 , 1751277871.764864033 
173 , 1751277871.864869068 
174 , 1751277871.964872104 
